epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.37133,2.63119,4.34039,3.62046,0.00333,0.5,0.01585,0.00456,2.46617,4.65108,3.78748,0,0,0
2,7.70181,2.57581,3.70753,3.71986,0.00333,0.5,0.01682,0.00466,2.47199,4.4493,3.72385,1.9604e-05,1.9604e-05,1.9604e-05
3,11.3819,2.95758,3.85115,3.86735,0.00333,0.5,0.01682,0.00437,2.51198,4.61128,3.62558,3.8416e-05,3.8416e-05,3.8416e-05
4,14.0665,2.61392,3.8154,3.33999,0.00333,0.5,0.00792,0.00312,2.51726,4.59181,3.5477,5.6436e-05,5.6436e-05,5.6436e-05
5,17.1423,2.19809,4.33393,3.65289,0.00333,0.5,0.00969,0.00299,2.49199,4.97286,3.39769,7.3664e-05,7.3664e-05,7.3664e-05
6,19.9077,2.29021,2.97782,3.79089,0.00333,0.5,0.04585,0.01834,2.43928,4.8912,3.30063,9.01e-05,9.01e-05,9.01e-05
7,22.65,1.85783,2.86275,2.91547,0.00333,0.5,0.1246,0.04984,2.45387,3.97611,3.21182,0.000105744,0.000105744,0.000105744
8,25.3373,1.96365,2.83045,2.80116,0.48933,0.5,0.24835,0.07648,2.16543,3.12568,3.41991,0.000120596,0.000120596,0.000120596
9,28.0565,1.87075,2.17214,2.38831,0.4699,0.5,0.24835,0.07451,1.91357,2.93096,3.78223,0.000134656,0.000134656,0.000134656
10,31.2518,1.83215,2.07618,2.4442,0.74672,0.5,0.49585,0.14875,1.89003,3.23317,4.1242,0.000147924,0.000147924,0.000147924
11,33.9919,2.07605,2.94996,3.07474,0.80542,0.5,0.49585,0.14875,1.68354,3.57484,4.31765,0.0001604,0.0001604,0.0001604
12,36.7699,1.48511,1.82902,2.9828,0.80244,0.5,0.49585,0.14875,1.35142,3.03967,4.01653,0.000172084,0.000172084,0.000172084
13,39.6096,1.17024,1.88011,2.74038,0.68151,0.5,0.49585,0.19834,1.0825,2.9652,3.45072,0.000182976,0.000182976,0.000182976
14,43.6615,1.26492,1.85234,2.45235,0.48525,0.5,0.24835,0.17384,0.98715,2.53181,3.07323,0.000193076,0.000193076,0.000193076
15,46.2794,1.33475,1.55786,2.34707,0.48581,0.5,0.24835,0.14901,0.92083,2.88904,2.94298,0.000202384,0.000202384,0.000202384
16,48.9277,1.29228,1.56425,2.68212,0.48528,0.5,0.24835,0.14901,0.81967,4.13355,2.83897,0.0002109,0.0002109,0.0002109
17,51.5992,0.92932,1.40221,2.66858,0.48332,0.5,0.24835,0.22351,0.81485,4.70765,2.77709,0.000218624,0.000218624,0.000218624
18,54.609,0.98304,1.09263,1.98835,0.48332,0.5,0.24835,0.22351,0.81485,4.70765,2.77709,0.000225556,0.000225556,0.000225556
19,57.2866,1.15024,1.47021,2.27224,0.48189,0.5,0.24835,0.19868,0.93786,5.37308,2.76029,0.000231696,0.000231696,0.000231696
20,59.8449,1.27796,1.49885,2.92192,0.48189,0.5,0.24835,0.19868,0.93786,5.37308,2.76029,0.000237044,0.000237044,0.000237044
21,62.4884,1.18246,1.37198,2.54664,0.48563,0.5,0.24835,0.19868,0.94842,4.8769,2.74902,0.0002416,0.0002416,0.0002416
22,65.1165,0.93099,1.28743,2.14191,0.48563,0.5,0.24835,0.19868,0.94842,4.8769,2.74902,0.000245364,0.000245364,0.000245364
23,68.276,1.31973,1.75686,3.12657,0.48883,0.5,0.24835,0.19868,0.92738,3.45317,2.69919,0.000248336,0.000248336,0.000248336
24,71.1129,0.98911,1.69411,2.78835,0.48883,0.5,0.24835,0.19868,0.92738,3.45317,2.69919,0.000250516,0.000250516,0.000250516
25,73.926,0.74835,1.15869,2.37335,0.49004,0.5,0.24835,0.19868,0.96862,2.38234,2.67203,0.000251904,0.000251904,0.000251904
26,76.3178,0.80008,1.5669,2.43568,0.49004,0.5,0.24835,0.19868,0.96862,2.38234,2.67203,0.0002525,0.0002525,0.0002525
27,78.793,0.95598,1.1579,2.21477,0.49061,0.5,0.24835,0.19868,1.07291,1.99471,2.65002,0.000252304,0.000252304,0.000252304
28,81.208,1.13285,1.31097,2.42939,0.49061,0.5,0.24835,0.19868,1.07291,1.99471,2.65002,0.000251316,0.000251316,0.000251316
29,83.7867,0.93032,1.23525,2.34677,0.49331,0.5,0.49585,0.34709,1.1553,2.24631,2.69475,0.000249536,0.000249536,0.000249536
30,86.404,0.81311,1.13778,2.11409,0.49331,0.5,0.49585,0.34709,1.1553,2.24631,2.69475,0.000246964,0.000246964,0.000246964
31,88.9663,0.76188,1.07307,2.23278,0.49358,0.5,0.49585,0.39668,1.08977,2.43706,2.74641,0.0002436,0.0002436,0.0002436
32,91.4984,0.95728,1.12936,2.26297,0.49358,0.5,0.49585,0.39668,1.08977,2.43706,2.74641,0.000239444,0.000239444,0.000239444
33,94.018,0.83068,1.12602,2.06289,0.49276,0.5,0.49585,0.39668,0.95753,2.43041,2.75474,0.000234496,0.000234496,0.000234496
34,96.691,0.65089,1.0282,2.70098,0.49276,0.5,0.49585,0.39668,0.95753,2.43041,2.75474,0.000228756,0.000228756,0.000228756
35,99.7818,0.8193,1.18541,2.18944,0.49262,0.5,0.49585,0.44627,0.78863,2.20329,2.68041,0.000222224,0.000222224,0.000222224
36,102.518,0.83597,0.99172,1.89081,0.49262,0.5,0.49585,0.44627,0.78863,2.20329,2.68041,0.0002149,0.0002149,0.0002149
37,105.071,0.68636,1.09238,2.20798,0.49358,0.5,0.49585,0.44627,0.76535,2.05381,2.63497,0.000206784,0.000206784,0.000206784
38,107.613,0.73248,1.03223,2.27803,0.49358,0.5,0.49585,0.44627,0.76535,2.05381,2.63497,0.000197876,0.000197876,0.000197876
39,110.217,0.69975,0.91062,2.10051,0.49575,0.5,0.49585,0.39668,0.81568,1.92278,2.61716,0.000188176,0.000188176,0.000188176
40,112.742,0.60656,0.89336,1.94993,0.49575,0.5,0.49585,0.39668,0.81568,1.92278,2.61716,0.000177684,0.000177684,0.000177684
41,115.463,0.69465,1.40596,2.41184,0.49917,0.5,0.49585,0.44627,0.8068,1.76132,2.52544,0.0001664,0.0001664,0.0001664
42,117.916,0.74909,1.3523,2.66929,0.49917,0.5,0.49585,0.44627,0.8068,1.76132,2.52544,0.000154324,0.000154324,0.000154324
43,120.399,0.5276,1.10883,2.30658,0.67078,0.5,0.49585,0.44627,0.78319,1.54381,2.45597,0.000141456,0.000141456,0.000141456
44,122.938,0.61745,1.35815,2.51462,0.67078,0.5,0.49585,0.44627,0.78319,1.54381,2.45597,0.000127796,0.000127796,0.000127796
45,126.058,0.61611,1.21797,2.47281,0.80984,0.5,0.49585,0.39668,0.764,1.31474,2.42475,0.000113344,0.000113344,0.000113344
46,128.551,0.56909,1.34453,2.88244,0.80984,0.5,0.49585,0.39668,0.764,1.31474,2.42475,9.81e-05,9.81e-05,9.81e-05
47,130.994,0.7087,1.47909,2.48426,0.88476,0.5,0.49585,0.39668,0.78174,1.16902,2.42423,8.2064e-05,8.2064e-05,8.2064e-05
48,133.399,0.5939,1.29686,2.40266,0.88476,0.5,0.49585,0.39668,0.78174,1.16902,2.42423,6.5236e-05,6.5236e-05,6.5236e-05
49,136.278,0.49615,1.39783,2.65441,0.91354,0.5,0.49585,0.39668,0.78046,1.12606,2.42988,4.7616e-05,4.7616e-05,4.7616e-05
50,139.157,0.59277,1.28194,2.47982,0.91354,0.5,0.49585,0.39668,0.78046,1.12606,2.42988,2.9204e-05,2.9204e-05,2.9204e-05
